gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
GDF1	2.10.90.10;		19	2657	{'-': '4986:32599', 'Reference GRCh38.p14 Primary Assembly': '18868544:18896157', 'Alternate T2T-CHM13v2.0': '19004161:19031780'}
ARNT	4.10.280.10;3.30.450.20;	1X0O;2A24;2B02;2HV1;2K7S;3F1N;3F1O;3F1P;3H7W;3H82;4EQ1;4GHI;4GS9;4H6J;4LPZ;4PKY;4XT2;5TBM;5UFP;5V0L;6CZW;6D09;6D0B;6D0C;6X21;6X28;6X2H;6X37;6X3D;8CK3;8CK4;8CK8;	1	405	{'-': '5169:72055', 'Reference GRCh38.p14 Primary Assembly': '150809712:150876598', 'Alternate T2T-CHM13v2.0': '149933390:150000286'}
RPL10	3.30.60.300;3.90.1170.10;	2PA2;5AJ0;6OLE;6OLF;6OLG;6OLI;6OLZ;6OM0;6OM7;6W6L;7F5S;8A3D;8FLD;8FLE;8FLF;8G5Y;8G5Z;8G60;8G61;8G6J;8GLP;	X	6134	{'-': '5148:9103', 'Reference GRCh38.p14 Primary Assembly': '154398064:154402338', 'Alternate T2T-CHM13v2.0': '152634584:152638858'}
COL8A1	2.60.120.40;		3	1295	{'Reference GRCh38.p14 Primary Assembly': '99638593:99799216', 'Alternate T2T-CHM13v2.0': '102343631:102504273'}
RPA1	2.40.50.140;	1EWI;1FGU;1JMC;1L1O;2B29;2B3G;4IJH;4IJL;4IPC;4IPD;4IPG;4IPH;4LUO;4LUV;4LUZ;4LW1;4LWC;4NB3;4O0A;4R4C;4R4I;4R4O;4R4Q;4R4T;5E7N;5EAY;5N85;5N8A;7XUT;7XUV;7XUW;7XV0;7XV1;7XV4;8JZV;8JZY;8K00;	17	6117	{'Reference GRCh38.p14 Primary Assembly': '1830004:1900081', 'Alternate T2T-CHM13v2.0': '1718729:1788876'}
APEX1	3.60.10.10;	1BIX;1CQG;1CQH;1DE8;1DE9;1DEW;1E9N;1HD7;2ISI;2O3H;3U8U;4IEM;4LND;4QH9;4QHD;4QHE;5CFG;5DFF;5DFH;5DFI;5DFJ;5DG0;5WN0;5WN1;5WN2;5WN3;5WN4;5WN5;6BOQ;6BOR;6BOS;6BOT;6BOU;6BOV;6BOW;6MK3;6MKK;6MKM;6MKO;6P93;6P94;6W0Q;6W2P;6W3L;6W3N;6W3Q;6W3U;6W43;6W4I;6W4T;7LPG;7LPH;7LPI;7LPJ;7MCR;7MEV;7SUV;7SVB;7TC2;7TC3;7TR7;7U50;	14	328	{'-': '5095:7636', 'Reference GRCh38.p14 Primary Assembly': '20455225:20457766', 'Alternate T2T-CHM13v2.0': '14652128:14654669', 'Reference GRCh38.p14 PATCHES': '657906:660447'}
CD82	1.10.1450.10;		11	3732	{'-': '5072:59767', 'Reference GRCh38.p14 Primary Assembly': '44564408:44620357', 'Alternate T2T-CHM13v2.0': '44720424:44776378'}
DCK	3.40.50.300;	1P5Z;1P60;1P61;1P62;2A2Z;2A30;2A7Q;2NO0;2NO1;2NO6;2NO7;2NO9;2NOA;2QRN;2QRO;2ZI3;2ZI4;2ZI5;2ZI6;2ZI7;2ZI9;2ZIA;3HP1;3IPX;3IPY;3KFX;3MJR;3QEJ;3QEN;3QEO;4JLJ;4JLK;4JLM;4JLN;4KCG;4L5B;4Q18;4Q19;4Q1A;4Q1B;4Q1C;4Q1D;4Q1E;4Q1F;5MQJ;5MQL;5MQT;7ZI1;7ZI2;7ZI3;7ZI5;7ZI6;7ZI7;7ZI8;7ZI9;7ZIA;7ZIB;	4	1633	{'-': '5101:42366', 'Reference GRCh38.p14 Primary Assembly': '70993648:71030913', 'Alternate T2T-CHM13v2.0': '74336085:74373338'}
CAD	3.40.50.20;3.40.50.880;3.40.50.1370;3.30.1490.20;3.30.470.20;3.50.30.20;1.10.1030.10;3.20.20.140;3.40.50.1380;	4BY3;4C6B;4C6C;4C6D;4C6E;4C6F;4C6I;4C6J;4C6K;4C6L;4C6M;4C6N;4C6O;4C6P;4C6Q;5G1N;5G1O;5G1P;5YNZ;6HFD;6HFE;6HFF;6HFH;6HFI;6HFJ;6HFK;6HFL;6HFN;6HFP;6HFQ;6HFR;6HFS;6HFU;6HG1;8GVZ;8GW0;8PBE;8PBG;8PBH;8PBI;8PBJ;8PBK;8PBM;8PBN;8PBP;8PBQ;8PBR;8PBS;8PBT;8PBU;	2	790	{'-': '4979:31553', 'Reference GRCh38.p14 Primary Assembly': '27217368:27243942', 'Alternate T2T-CHM13v2.0': '27259007:27285578'}
CALR	2.60.120.200;2.10.250.10;	2CLR;3DOW;3POS;3POW;5LK5;5V90;6ENY;7QPD;8TZO;8TZR;	19	811	{'-': '5000:10890', 'Reference GRCh38.p14 Primary Assembly': '12938608:12944488', 'Alternate T2T-CHM13v2.0': '13063096:13068973'}
PDE4A	1.10.1300.10;	2QYK;3I8V;3TVX;	19	5141	{'-': '8765:57857', 'Reference GRCh38.p14 Primary Assembly': '10416772:10469630', 'Alternate T2T-CHM13v2.0': '10543230:10596067'}
CANX	2.60.120.200;2.10.250.10;		5	821	{'Reference GRCh38.p14 Primary Assembly': '179678655:179731640', 'Alternate T2T-CHM13v2.0': '180233829:180286825', 'Reference GRCh38.p14 PATCHES': '444336:497220'}
CFP	2.20.100.10;	1W0R;1W0S;6RUR;6RUS;6RUV;6RV6;6S08;6S0A;6S0B;6SEJ;7B26;7NOZ;	X	5199	{'-': '5000:11092', 'Reference GRCh38.p14 Primary Assembly': '47623281:47630304', 'Alternate T2T-CHM13v2.0': '47033181:47040205'}
IL1R2	2.60.40.10;	3O4O;	2	7850	{'Reference GRCh38.p14 Primary Assembly': '101991959:102028543', 'Alternate T2T-CHM13v2.0': '102450048:102486841'}
PIK3R1	1.10.287.1490;1.10.555.10;3.30.505.10;2.30.30.40;	1A0N;1AZG;1H9O;1PBW;1PHT;1PIC;1PKS;1PKT;2IUG;2IUH;2IUI;2RD0;2V1Y;3HHM;3HIZ;3I5R;3I5S;4A55;4JPS;4L1B;4L23;4L2Y;4OVU;4OVV;4WAF;4YKN;4ZOP;5AUL;5FI4;5GJI;5ITD;5M6U;5SW8;5SWG;5SWO;5SWP;5SWR;5SWT;5SX8;5SX9;5SXA;5SXB;5SXC;5SXD;5SXE;5SXF;5SXI;5SXJ;5SXK;5UBT;5UK8;5UKJ;5UL1;5VLR;5XGH;5XGI;5XGJ;6NCT;6PYR;6PYU;7CIO;7LM2;7LQ1;7MYN;7MYO;7PG5;7PG6;7RNS;7TZ7;8DCP;8DCX;8DD4;8DD8;8GUB;8H36;8H37;8ILR;8ILS;8ILV;8SBC;8SBJ;8TDU;8TGD;8TS7;8TS8;8TS9;8TSA;8TSB;8TSC;8TSD;8TU6;	5	5295	{'-': '5000:91065', 'Reference GRCh38.p14 Primary Assembly': '68215755:68301820', 'Alternate T2T-CHM13v2.0': '69037927:69124116'}
ITPKB	3.30.470.160;		1	3707	{'Reference GRCh38.p14 Primary Assembly': '226631689:226739281', 'Alternate T2T-CHM13v2.0': '225819872:225927468'}
AOAH	1.10.225.10;3.40.50.1110;	5W78;5W7C;	7	313	{'Reference GRCh38.p14 Primary Assembly': '36512940:36724493', 'Alternate T2T-CHM13v2.0': '36653264:36864868'}
PSMB8	3.60.20.10;	5L5A;5L5B;5L5D;5L5E;5L5F;5L5H;5L5I;5L5J;5L5O;5L5P;5L5Q;5L5R;5L5S;5L5T;5L5U;5L5V;5LTT;5M2B;6AVO;6E5B;7AWE;7B12;	6	5696	{'-': '5256:9218', 'Reference GRCh38.p14 Primary Assembly': '32840716:32844678', 'Alternate T2T-CHM13v2.0': '32662091:32666053', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '4252915:4256877', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '4145581:4149543', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '4084286:4088248', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '4260069:4264031', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '4139785:4143747', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '4035004:4038966', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '4239968:4243930'}
PSMB9	3.60.20.10;	6AVO;6E5B;7AWE;7B12;	6	5698	{'Reference GRCh38.p14 Primary Assembly': '32854191:32859850', 'Alternate T2T-CHM13v2.0': '32675566:32681225', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '4266390:4272051', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '4159056:4164712', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '4097761:4103420', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '4273544:4279204', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '4153260:4158916', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '4048479:4054139', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '4253443:4259099'}
PSMA5	3.60.20.10;	4R3O;4R67;5A0Q;5GJQ;5GJR;5L4G;5LE5;5LEX;5LEY;5LEZ;5LF0;5LF1;5LF3;5LF4;5LF6;5LF7;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFO;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;6AVO;6E5B;6KWY;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6R70;6REY;6RGQ;6WJD;6WJN;6XMJ;7AWE;7B12;7LXV;7NAN;7NAO;7NAP;7NAQ;7NHT;7PG9;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7V5G;7V5M;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVR;8CVS;8CVT;8CXB;	1	5686	{'Reference GRCh38.p14 Primary Assembly': '109399041:109426447', 'Alternate T2T-CHM13v2.0': '109431822:109459232'}
HLA-DMA	2.60.40.10;	1HDM;2BC4;4FQX;4GBX;	6	3108	{'-': '5025:9504', 'Reference GRCh38.p14 Primary Assembly': '32948617:32953096', 'Alternate T2T-CHM13v2.0': '32769954:32774436', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '4360814:4365296', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '4253464:4257946', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '4192147:4196629', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '4367985:4372465', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '4247662:4252144', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '4142924:4147406', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '4347852:4352334'}
HLA-DMB	2.60.40.10;	1HDM;2BC4;4FQX;4GBX;4I0P;	6	3109	{'Reference GRCh38.p14 Primary Assembly': '32934635:32941027', 'Alternate T2T-CHM13v2.0': '32755984:32762377', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '4346830:4353222', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '4239480:4245872', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '4178164:4184556', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '4354003:4360395', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '4233678:4240070', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '4128943:4135334', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '4333868:4340260'}
POU1F1	1.10.10.60;1.10.260.40;	5WC9;	3	5449	{'-': '5003:22183', 'Reference GRCh38.p14 Primary Assembly': '87259403:87276583', 'Alternate T2T-CHM13v2.0': '87333762:87350935'}
PSMB4	3.60.20.10;	4R3O;4R67;5A0Q;5GJQ;5GJR;5L4G;5LE5;5LEX;5LEY;5LEZ;5LF0;5LF1;5LF3;5LF4;5LF6;5LF7;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFO;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;6AVO;6E5B;6KWY;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6R70;6REY;6RGQ;6WJD;6WJN;6XMJ;7AWE;7B12;7LXV;7NAN;7NAO;7NAP;7NAQ;7NHT;7PG9;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7V5G;7V5M;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVR;8CVS;8CVT;8CXB;	1	5692	{'Reference GRCh38.p14 Primary Assembly': '151399572:151401936', 'Alternate T2T-CHM13v2.0': '150523281:150525645'}
PSMB6	3.60.20.10;	4R3O;4R67;5A0Q;5GJQ;5GJR;5L4G;5LE5;5LEX;5LEY;5LEZ;5LF0;5LF1;5LF3;5LF4;5LF6;5LF7;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFO;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;6KWY;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6R70;6REY;6RGQ;6WJD;6WJN;6XMJ;7LXV;7NAN;7NAO;7NAP;7NAQ;7NHT;7PG9;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7V5G;7V5M;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVR;8CVS;8CVT;8CXB;	17	5694	{'Reference GRCh38.p14 Primary Assembly': '4796163:4798494', 'Alternate T2T-CHM13v2.0': '4686018:4688349'}
PSMB5	3.60.20.10;	4R3O;4R67;5A0Q;5GJQ;5GJR;5L4G;5L5W;5L5X;5L5Y;5L5Z;5L60;5L61;5L62;5L63;5L64;5LE5;5LEX;5LEY;5LEZ;5LF0;5LF1;5LF3;5LF4;5LF6;5LF7;5LN3;5M32;5T0C;5T0G;5T0H;5T0I;5T0J;5VFO;5VFP;5VFQ;5VFR;5VFS;5VFT;5VFU;6KWY;6MSB;6MSD;6MSE;6MSG;6MSH;6MSJ;6MSK;6R70;6REY;6RGQ;6WJD;6WJN;6XMJ;7LXV;7NAN;7NAO;7NAP;7NAQ;7NHT;7PG9;7QXN;7QXP;7QXU;7QXW;7QXX;7QY7;7QYA;7QYB;7V5G;7V5M;7W37;7W38;7W39;7W3A;7W3B;7W3C;7W3F;7W3G;7W3H;7W3I;7W3J;7W3K;7W3M;8CVR;8CVS;8CVT;8CXB;	14	5693	{'Reference GRCh38.p14 Primary Assembly': '23025850:23035219', 'Alternate T2T-CHM13v2.0': '17226470:17235839'}
GSTM2	1.20.1050.10;3.40.30.10;	1HNA;1HNB;1HNC;1XW5;1YKC;2AB6;2C4J;2GTU;3GTU;3GUR;5HWL;	1	2946	{'Reference GRCh38.p14 Primary Assembly': '109668056:109683996', 'Alternate T2T-CHM13v2.0': '109696171:109703775'}
HTR1D	1.20.1070.10;	7E32;	1	3352	{'Reference GRCh38.p14 Primary Assembly': '23191894:23217501', 'Alternate T2T-CHM13v2.0': '23017571:23043162'}
HTR1B	1.20.1070.10;	4IAQ;4IAR;5V54;6G79;7C61;	6	3351	{'Reference GRCh38.p14 Primary Assembly': '77460923:77463490', 'Alternate T2T-CHM13v2.0': '78638385:78640950'}
HTR2A	1.20.1070.10;	6A93;6A94;6WGT;6WH4;6WHA;7RAN;7VOD;7VOE;7WC4;7WC5;7WC6;7WC7;7WC8;7WC9;	13	3356	{'-': '4958:70492', 'Reference GRCh38.p14 Primary Assembly': '46831545:46898081', 'Alternate T2T-CHM13v2.0': '46052770:46119332'}
ABCD3	1.20.1560.10;3.40.50.300;		1	5825	{'-': '38259:138533', 'Reference GRCh38.p14 Primary Assembly': '94385130:94518662', 'Alternate T2T-CHM13v2.0': '94233379:94366699'}
TMOD1	3.80.10.10;	4PKG;4PKH;4PKI;4Z8G;4Z94;8F8T;	9	7111	{'Reference GRCh38.p14 Primary Assembly': '97501179:97601742', 'Alternate T2T-CHM13v2.0': '109673129:109773683'}
ELK4	1.10.10.10;	1BC7;1BC8;1HBX;1K6O;	1	2005	{'-': '5861:29929', 'Reference GRCh38.p14 Primary Assembly': '205607942:205632010', 'Alternate T2T-CHM13v2.0': '204872577:204896649'}
CST5	3.10.450.10;	1RN7;1ROA;	20	1473	{'Reference GRCh38.p14 Primary Assembly': '23875933:23879747', 'Alternate T2T-CHM13v2.0': '23935654:23939468'}
PEX2	3.30.40.10;		8	5828	{'-': '5965:25785', 'Reference GRCh38.p14 Primary Assembly': '76980257:77001043', 'Alternate T2T-CHM13v2.0': '77409690:77430482'}
CHAT	3.30.559.10;3.30.559.70;	2FY2;2FY3;2FY4;2FY5;7AMD;	10	1103	{'-': '9943:63848', 'Reference GRCh38.p14 Primary Assembly': '49609094:49667941', 'Alternate T2T-CHM13v2.0': '50457900:50516752'}
ACADL	1.10.540.10;2.40.110.10;1.20.140.10;		2	33	{'-': '5044:42568', 'Reference GRCh38.p14 Primary Assembly': '210187922:210225446', 'Alternate T2T-CHM13v2.0': '210668600:210706297'}
NDUFS1	3.10.20.740;3.30.200.210;3.30.70.20;3.40.50.740;	5XTB;5XTD;5XTH;5XTI;	2	4719	{'-': '4999:49626', 'Reference GRCh38.p14 Primary Assembly': '206114816:206159443', 'Alternate T2T-CHM13v2.0': '206596709:206641336', 'Reference GRCh38.p14 PATCHES': '223834:268461'}
ADH6	3.90.180.10;3.40.50.720;		4	130	{'Reference GRCh38.p14 Primary Assembly': '99202638:99219245', 'Alternate T2T-CHM13v2.0': '102517453:102534060'}
HTR2C	1.20.1070.10;	6BQG;6BQH;8DPF;8DPG;8DPH;8DPI;	X	3358	{'-': '5001:330976', 'Reference GRCh38.p14 Primary Assembly': '114584085:114910060', 'Alternate T2T-CHM13v2.0': '112992592:113318747'}
NMBR	1.20.1070.10;	8H0P;	6	4829	{'Reference GRCh38.p14 Primary Assembly': '142074483:142147121', 'Alternate T2T-CHM13v2.0': '143260408:143339213'}
POLD1	1.10.132.60;3.30.342.10;1.10.287.690;3.90.1600.10;3.30.420.10;	6S1M;6S1N;6S1O;6TNY;6TNZ;	19	5424	{'-': '5000:38695', 'Reference GRCh38.p14 Primary Assembly': '50384322:50418017', 'Alternate T2T-CHM13v2.0': '53471874:53505573'}
TEAD1	2.70.50.80;6.10.20.40;	2HZD;3KYS;4RE1;4Z8E;5NNX;6HIL;6IM5;7CMM;7ZJP;8Q68;	11	7003	{'-': '4999:275315', 'Reference GRCh38.p14 Primary Assembly': '12674420:12944736', 'Alternate T2T-CHM13v2.0': '12766926:13037264'}
HOXD9	1.10.10.60;		2	3235	{'-': '5034:7252', 'Reference GRCh38.p14 Primary Assembly': '176122718:176124936', 'Alternate T2T-CHM13v2.0': '176610852:176613073'}
HOXD10	1.10.10.60;		2	3236	{'-': '10000:13178', 'Reference GRCh38.p14 Primary Assembly': '176116777:176119936', 'Alternate T2T-CHM13v2.0': '176604905:176608070'}
MSX1	1.10.10.60;		4	4487	{'-': '5000:9271', 'Reference GRCh38.p14 Primary Assembly': '4859664:4863935', 'Alternate T2T-CHM13v2.0': '4829289:4833544'}
SMARCA1	1.10.10.60;1.20.5.1190;1.10.1040.30;3.40.50.300;3.40.50.10810;		X	6594	{'-': '4993:81977', 'Reference GRCh38.p14 Primary Assembly': '129446505:129523489', 'Alternate T2T-CHM13v2.0': '127765287:127842271'}
GABRB3	2.70.170.10;1.20.58.390;	4COF;5O8F;5OJM;6A96;6HUG;6HUJ;6HUK;6HUO;6HUP;6I53;6QFA;7PBD;7PBZ;7PC0;7QN5;7QN6;7QN7;7QN8;7QN9;7QNA;7QNB;7QNC;7QND;7QNE;8PVB;	15	2562	{'-': '5714:235228', 'Reference GRCh38.p14 Primary Assembly': '26543551:26773762', 'Alternate T2T-CHM13v2.0': '24283986:24515086'}
GABRR2	2.70.170.10;1.20.58.390;		6	2570	{'-': '5000:65835', 'Reference GRCh38.p14 Primary Assembly': '89254463:89315298', 'Alternate T2T-CHM13v2.0': '90463739:90524559'}
MAPK1	1.10.510.10;	1PME;1TVO;1WZY;2OJG;2OJI;2OJJ;2Y9Q;3D42;3D44;3I5Z;3I60;3SA0;3TEI;3W55;4FMQ;4FUX;4FUY;4FV0;4FV1;4FV2;4FV3;4FV4;4FV5;4FV6;4FV7;4FV8;4FV9;4G6N;4G6O;4H3P;4H3Q;4IZ5;4IZ7;4IZA;4N0S;4NIF;4O6E;4QP1;4QP2;4QP3;4QP4;4QP6;4QP7;4QP8;4QP9;4QPA;4QTA;4QTE;4XJ0;4ZXT;4ZZM;4ZZN;4ZZO;5AX3;5BUE;5BUI;5BUJ;5BVD;5BVE;5BVF;5K4I;5LCJ;5LCK;5NGU;5NHF;5NHH;5NHJ;5NHL;5NHO;5NHP;5NHV;5V60;5V61;5V62;5WP1;6D5Y;6DMG;6G54;6G8X;6G91;6G92;6G93;6G97;6G9A;6G9D;6G9H;6G9J;6G9K;6G9M;6G9N;6GDM;6GDQ;6GE0;6GJB;6GJD;6NBS;6OPG;6OPH;6OPI;6Q7K;6Q7S;6Q7T;6QA1;6QA3;6QA4;6QAG;6QAH;6QAL;6QAQ;6QAW;6RQ4;6SLG;7AUV;7E73;7E75;7NQQ;7NQW;7NR3;7NR5;7NR8;7NR9;7OPM;7W5O;7X4U;7XC1;8AO2;8AO3;8AO4;8AO5;8AO6;8AO7;8AO8;8AO9;8AOA;8AOB;8AOC;8AOD;8AOE;8AOF;8AOG;8AOH;8AOI;8AOJ;	22	5594	{'-': '5000:113023', 'Reference GRCh38.p14 Primary Assembly': '21759656:21867679', 'Alternate T2T-CHM13v2.0': '22173147:22281195'}
DUSP1	3.90.190.10;3.40.250.10;	6APX;6D65;6D66;6D67;	5	1843	{'Reference GRCh38.p14 Primary Assembly': '172768095:172771194', 'Alternate T2T-CHM13v2.0': '173308210:173311309'}
HTR1E	1.20.1070.10;	7E33;	6	3354	{'Reference GRCh38.p14 Primary Assembly': '86937527:87016678', 'Alternate T2T-CHM13v2.0': '88146244:88225390'}
GCA	6.10.140.900;1.10.238.10;	1F4O;1F4Q;1K94;1K95;	2	25801	{'Reference GRCh38.p14 Primary Assembly': '162318762:162375395', 'Alternate T2T-CHM13v2.0': '162775429:162833884'}
MZF1	3.30.160.60;1.10.4020.10;	2FI2;	19	7593	{'Reference GRCh38.p14 Primary Assembly': '58561931:58573572', 'Alternate T2T-CHM13v2.0': '61659608:61672552'}
RXRB	3.30.50.10;1.10.565.10;	1H9U;1UHL;5HJP;5I4V;5KYA;5KYJ;7A78;	6	6257	{'-': '4990:12067', 'Reference GRCh38.p14 Primary Assembly': '33193587:33200852', 'Alternate T2T-CHM13v2.0': '33014940:33022205', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '4605094:4612357', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '4437086:4444351', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '4613059:4620325', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '4629543:4636805', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '4387990:4395256'}
ERCC5	1.10.150.20;3.40.50.1010;	5EKF;5EKG;6TUR;6TUS;6TUW;6TUX;6VBH;	13	2073	{'-': '5017:35177', 'Reference GRCh38.p14 Primary Assembly': '102846031:102875994', 'Alternate T2T-CHM13v2.0': '102064227:102094202'}
RBL1	1.10.472.140;1.10.472.10;	1H28;4YOO;4YOS;4YOZ;5TUV;7SMC;7SMD;7SME;7SMF;	20	5933	{'Reference GRCh38.p14 Primary Assembly': '36996348:37095996', 'Alternate T2T-CHM13v2.0': '38720691:38820362'}
GRN	2.10.25.160;	1G26;2JYE;2JYT;2JYU;2JYV;6NUG;	17	2896	{'-': '4963:12983', 'Reference GRCh38.p14 Primary Assembly': '44345301:44353105', 'Alternate T2T-CHM13v2.0': '45199296:45207104'}
PTPRM	2.60.120.200;2.60.40.10;3.90.190.10;	1RPM;2C9A;2V5Y;8A16;8A17;	18	5797	{'Reference GRCh38.p14 Primary Assembly': '7567315:8406855', 'Alternate T2T-CHM13v2.0': '7730571:8570005'}
LAP3	3.40.220.10;3.40.630.10;		4	51056	{'Reference GRCh38.p14 Primary Assembly': '17577197:17607969', 'Alternate T2T-CHM13v2.0': '17559361:17590255'}
HSD11B1	3.40.50.720;	1XU7;1XU9;2BEL;2ILT;2IRW;2RBE;3BYZ;3BZU;3CH6;3CZR;3D3E;3D4N;3D5Q;3EY4;3FCO;3FRJ;3H6K;3HFG;3OQ1;3PDJ;3QQP;3TFQ;4BB5;4BB6;4C7J;4C7K;4HFR;4HX5;4IJU;4IJV;4IJW;4K1L;4P38;4YYZ;5PGU;5PGV;5PGW;5PGX;5PGY;5QII;	1	3290	{'-': '23641:53724', 'Reference GRCh38.p14 Primary Assembly': '209686178:209734928', 'Alternate T2T-CHM13v2.0': '208932933:208981686'}
CD38	3.40.50.720;	1YH3;1ZVM;2EF1;2HCT;2I65;2I66;2I67;2O3Q;2O3R;2O3S;2O3T;2O3U;2PGJ;2PGL;3DZF;3DZG;3DZH;3DZI;3DZJ;3DZK;3F6Y;3I9M;3I9N;3OFS;3RAJ;3ROK;3ROM;3ROP;3ROQ;3U4H;3U4I;4CMH;4F45;4F46;4OGW;4TMF;4XJS;4XJT;5F1K;5F1O;5F21;6EDR;6VUA;7DHA;7DUO;7VKE;8BYU;8D0M;8IL3;8P8C;	4	952	{'Reference GRCh38.p14 Primary Assembly': '15778327:15853231', 'Alternate T2T-CHM13v2.0': '15760484:15834814'}
TNFRSF8	2.10.50.10;	1D01;	1	943	{'-': '4926:85830', 'Reference GRCh38.p14 Primary Assembly': '12063302:12144206', 'Alternate T2T-CHM13v2.0': '11607441:11688341'}
CD1B	2.60.40.10;3.30.500.10;	1GZP;1GZQ;1UQS;2H26;3OV6;3T8X;4ONO;5C9J;5L2J;5L2K;5WKE;5WKG;5WKI;5WL1;6CUG;6D64;8DV3;8DV4;8GLE;8GLF;8GLG;8GLH;8GLI;	1	910	{'Reference GRCh38.p14 Primary Assembly': '158285404:158331530', 'Alternate T2T-CHM13v2.0': '157422501:157468623'}
CD1C	2.60.40.10;3.30.500.10;	3OV6;4ONO;5C9J;6C09;6C15;	1	911	{'Reference GRCh38.p14 Primary Assembly': '158289922:158294773', 'Alternate T2T-CHM13v2.0': '157427019:157431870'}
GJB2	1.20.1440.80;	2ZW3;3IZ1;3IZ2;5ER7;5ERA;5KJ3;5KJG;6UVR;6UVS;6UVT;7QEO;7QEQ;7QER;7QES;7QET;7QEU;7QEV;7QEW;7QEY;	13	2706	{'-': '5037:10505', 'Reference GRCh38.p14 Primary Assembly': '20187469:20192937', 'Alternate T2T-CHM13v2.0': '19383899:19389384'}
S100A2	1.10.238.10;	2RGI;4DUQ;	1	6273	{'Reference GRCh38.p14 Primary Assembly': '153561107:153565843', 'Alternate T2T-CHM13v2.0': '152698362:152703110'}
PTPN4	1.20.80.10;2.30.42.10;2.30.29.30;3.90.190.10;	2CS5;2I75;2VPH;3NFK;3NFL;5EYZ;5EZ0;7VZE;	2	5775	{'Reference GRCh38.p14 Primary Assembly': '119759921:119984898', 'Alternate T2T-CHM13v2.0': '120193966:120419640'}
GTF2E1	6.10.140.1250;3.30.40.10;	1VD4;2JTX;2RNQ;2RNR;5GPY;5IY6;5IY7;5IY8;5IY9;5IYA;5IYB;5IYC;5IYD;6O9L;7EG9;7EGA;7EGB;7EGC;7ENA;7ENC;7LBM;7NVR;7NVS;7NVT;7NVU;7NVV;7NVW;7NVX;7NVY;7NVZ;7NW0;8BVW;8BYQ;8GXQ;8GXS;8WAK;8WAL;8WAN;8WAO;8WAP;8WAQ;8WAR;8WAS;	3	2960	{'Reference GRCh38.p14 Primary Assembly': '120742743:120783068', 'Alternate T2T-CHM13v2.0': '123462621:123502945'}
