Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene3D	PDB
P01344	reviewed	IGF2_HUMAN	Insulin-like growth factor II (IGF-II) (Somatomedin-A) (T3M-11-derived growth factor) [Cleaved into: Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; Preptin]	IGF2 PP1446	Homo sapiens (Human)	180	1.10.100.10;	1IGL;2L29;2V5P;3E4Z;3KR3;5L3L;5L3M;5L3N;6UM2;6VWG;6VWI;
P01374	reviewed	TNFB_HUMAN	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)	LTA TNFB TNFSF1	Homo sapiens (Human)	205	2.60.120.40;	1TNR;4MXV;4MXW;
P01375	reviewed	TNFA_HUMAN	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNFA TNFSF2	Homo sapiens (Human)	233	2.60.120.40;	1A8M;1TNF;2AZ5;2E7A;2TUN;2ZJC;2ZPX;3ALQ;3IT8;3L9J;3WD5;4G3Y;4TSV;4TWT;4Y6O;5M2I;5M2J;5M2M;5MU8;5TSW;5UUI;5WUX;5YOY;6OOY;6OOZ;6OP0;6RMJ;6X81;6X82;6X83;6X85;6X86;7ASY;7AT7;7ATB;7JRA;7KP9;7KPA;7KPB;7QLF;7TA3;7TA6;
P01562	reviewed	IFNA1_HUMAN	Interferon alpha-1/13 (IFN-alpha-1/13) (Interferon alpha-D) (LeIF D)	IFNA1; IFNA13	Homo sapiens (Human)	189	1.20.1250.10;	3UX9;
P01563	reviewed	IFNA2_HUMAN	Interferon alpha-2 (IFN-alpha-2) (Interferon alpha-A) (LeIF A)	IFNA2 IFNA2A IFNA2B IFNA2C	Homo sapiens (Human)	188	1.20.1250.10;	1ITF;1RH2;2HYM;2KZ1;2LAG;2LMS;3S9D;3SE3;4YPG;4Z5R;
P01566	reviewed	IFN10_HUMAN	Interferon alpha-10 (IFN-alpha-10) (Interferon alpha-6L) (Interferon alpha-C) (LeIF C)	IFNA10	Homo sapiens (Human)	189	1.20.1250.10;	
P01567	reviewed	IFNA7_HUMAN	Interferon alpha-7 (IFN-alpha-7) (Interferon alpha-J) (LeIF J) (Interferon alpha-J1) (IFN-alpha-J1)	IFNA7	Homo sapiens (Human)	189	1.20.1250.10;	
P01568	reviewed	IFN21_HUMAN	Interferon alpha-21 (IFN-alpha-21) (Interferon alpha-F) (LeIF F)	IFNA21	Homo sapiens (Human)	189	1.20.1250.10;	
P01569	reviewed	IFNA5_HUMAN	Interferon alpha-5 (IFN-alpha-5) (Interferon alpha-61) (Interferon alpha-G) (LeIF G)	IFNA5	Homo sapiens (Human)	189	1.20.1250.10;	
P01570	reviewed	IFN14_HUMAN	Interferon alpha-14 (IFN-alpha-14) (Interferon alpha-H) (LeIF H) (Interferon lambda-2-H)	IFNA14	Homo sapiens (Human)	189	1.20.1250.10;	
P01571	reviewed	IFN17_HUMAN	Interferon alpha-17 (IFN-alpha-17) (Interferon alpha-88) (Interferon alpha-I') (LeIF I) (Interferon alpha-T)	IFNA17	Homo sapiens (Human)	189	1.20.1250.10;	
P01574	reviewed	IFNB_HUMAN	Interferon beta (IFN-beta) (Fibroblast interferon)	IFNB1 IFB IFNB	Homo sapiens (Human)	187	1.20.1250.10;	1AU1;
P01579	reviewed	IFNG_HUMAN	Interferon gamma (IFN-gamma) (Immune interferon)	IFNG	Homo sapiens (Human)	166	1.20.1250.10;	1EKU;1FG9;1FYH;1HIG;3BES;6E3K;6E3L;
P01583	reviewed	IL1A_HUMAN	Interleukin-1 alpha (IL-1 alpha) (Hematopoietin-1)	IL1A IL1F1	Homo sapiens (Human)	271	2.80.10.50;	2ILA;2KKI;2L5X;5UC6;
P01584	reviewed	IL1B_HUMAN	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	Homo sapiens (Human)	269	2.80.10.50;	1HIB;1I1B;1IOB;1ITB;1L2H;1S0L;1T4Q;1TOO;1TP0;1TWE;1TWM;21BI;2I1B;2KH2;2NVH;31BI;3LTQ;3O4O;3POK;41BI;4DEP;4G6J;4G6M;4GAF;4GAI;4I1B;5BVP;5I1B;5MVZ;5R7W;5R85;5R86;5R87;5R88;5R89;5R8A;5R8B;5R8C;5R8D;5R8E;5R8F;5R8G;5R8H;5R8I;5R8J;5R8K;5R8L;5R8M;5R8N;5R8O;5R8P;5R8Q;6I1B;6Y8I;6Y8M;7CHY;7CHZ;7I1B;7Z4T;8C3U;9ILB;
P01588	reviewed	EPO_HUMAN	Erythropoietin (Epoetin)	EPO	Homo sapiens (Human)	193	1.20.1250.10;	1BUY;1CN4;1EER;
P01589	reviewed	IL2RA_HUMAN	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)	IL2RA	Homo sapiens (Human)	272	2.20.28.230;	1Z92;2B5I;2ERJ;3IU3;3NFP;6VWU;6YIO;7F9W;7ZMZ;
P01593	reviewed	KVD33_HUMAN	Immunoglobulin kappa variable 1D-33 (Ig kappa chain V-I region AG) (Ig kappa chain V-I region Bi) (Ig kappa chain V-I region Lay) (Ig kappa chain V-I region Ni) (Ig kappa chain V-I region Rei) (Ig kappa chain V-I region Roy) (Ig kappa chain V-I region Scw) (Ig kappa chain V-I region WAT)	IGKV1D-33	Homo sapiens (Human)	117	2.60.40.10;	1AR2;1BWW;1REI;1WTL;4L1H;5XP1;
P01594	reviewed	KV133_HUMAN	Immunoglobulin kappa variable 1-33 (Ig kappa chain V-I region AU) (Ig kappa chain V-I region Ka)	IGKV1-33	Homo sapiens (Human)	117	2.60.40.10;	1B0W;1JV5;1QP1;2Q20;3CDC;3CDF;3CDY;4K07;7CZQ;7CZU;7CZV;
P01597	reviewed	KV139_HUMAN	Immunoglobulin kappa variable 1-39 (Ig kappa chain V-I region DEE) (Ig kappa chain V-I region Hau) (Ig kappa chain V-I region Mev) (Ig kappa chain V-I region OU) (Ig kappa chain V-I region Walker)	IGKV1-39	Homo sapiens (Human)	117	2.60.40.10;	1F6L;3UPA;
P01599	reviewed	KV117_HUMAN	Immunoglobulin kappa variable 1-17 (Ig kappa chain V-I region Gal) (Ig kappa chain V-I region WEA)	IGKV1-17	Homo sapiens (Human)	117	2.60.40.10;	
P01602	reviewed	KV105_HUMAN	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	IGKV1-5	Homo sapiens (Human)	117	2.60.40.10;	
P01611	reviewed	KVD12_HUMAN	Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	IGKV1D-12	Homo sapiens (Human)	117	2.60.40.10;	
P01615	reviewed	KVD28_HUMAN	Immunoglobulin kappa variable 2D-28 (Ig kappa chain V-II region FR) (Ig kappa chain V-II region GM607) (Ig kappa chain V-II region MIL) (Ig kappa chain V-II region TEW)	IGKV2D-28	Homo sapiens (Human)	120	2.60.40.10;	
P01619	reviewed	KV320_HUMAN	Immunoglobulin kappa variable 3-20 (Ig kappa chain V-III region B6) (Ig kappa chain V-III region GOL) (Ig kappa chain V-III region HAH) (Ig kappa chain V-III region HIC) (Ig kappa chain V-III region IARC/BL41) (Ig kappa chain V-III region NG9) (Ig kappa chain V-III region SIE) (Ig kappa chain V-III region Ti) (Ig kappa chain V-III region WOL)	IGKV3-20	Homo sapiens (Human)	116	2.60.40.10;	4LRN;4M62;4M8Q;4OB5;4ODX;
P01699	reviewed	LV144_HUMAN	Immunoglobulin lambda variable 1-44 (Ig lambda chain V-I region MEM) (Ig lambda chain V-I region VOR)	IGLV1-44	Homo sapiens (Human)	117	2.60.40.10;	
P01700	reviewed	LV147_HUMAN	Immunoglobulin lambda variable 1-47 (Ig lambda chain V-I region HA) (Ig lambda chain V-I region WAH)	IGLV1-47	Homo sapiens (Human)	117	2.60.40.10;	1ZVO;
P01701	reviewed	LV151_HUMAN	Immunoglobulin lambda variable 1-51 (Ig lambda chain V-I region BL2) (Ig lambda chain V-I region EPS) (Ig lambda chain V-I region NEW) (Ig lambda chain V-I region NIG-64)	IGLV1-51	Homo sapiens (Human)	117	2.60.40.10;	
P01704	reviewed	LV214_HUMAN	Immunoglobulin lambda variable 2-14 (Ig lambda chain V-II region NIG-84) (Ig lambda chain V-II region TOG) (Ig lambda chain V-II region VIL)	IGLV2-14	Homo sapiens (Human)	120	2.60.40.10;	5C2B;5C6W;5CBA;5CBE;6SM1;
P01705	reviewed	LV223_HUMAN	Immunoglobulin lambda variable 2-23 (Ig lambda chain V-II region NEI)	IGLV2-23	Homo sapiens (Human)	113	2.60.40.10;	
P01706	reviewed	LV211_HUMAN	Immunoglobulin lambda variable 2-11 (Ig gamma lambda chain V-II region DOT) (Ig lambda chain V-II region BOH) (Ig lambda chain V-II region BUR) (Ig lambda chain V-II region NIG-58) (Ig lambda chain V-II region TRO) (Ig lambda chain V-II region WIN)	IGLV2-11	Homo sapiens (Human)	119	2.60.40.10;	
P01709	reviewed	LV208_HUMAN	Immunoglobulin lambda variable 2-8 (Ig lambda chain V-II region BO) (Ig lambda chain V-II region MGC)	IGLV2-8	Homo sapiens (Human)	118	2.60.40.10;	1A8J;1DCL;1MCW;2MCG;3MCG;4UNT;4UNU;4UNV;5ACL;5ACM;
P01721	reviewed	LV657_HUMAN	Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT)	IGLV6-57	Homo sapiens (Human)	117	2.60.40.10;	1CD0;1PEW;2CD0;5IR3;
P01730	reviewed	CD4_HUMAN	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	CD4	Homo sapiens (Human)	458	2.60.40.10;1.20.5.900;	1CDH;1CDI;1CDJ;1CDU;1CDY;1G9M;1G9N;1GC1;1JL4;1Q68;1RZJ;1RZK;1WBR;1WIO;1WIP;1WIQ;2B4C;2JKR;2JKT;2KLU;2NXY;2NXZ;2NY0;2NY1;2NY2;2NY3;2NY4;2NY5;2NY6;2QAD;3B71;3CD4;3J70;3JCB;3JCC;3JWD;3JWO;3LQA;3O2D;3S4S;3S5L;3T0E;4H8W;4JM2;4P9H;4Q6I;4R2G;4R4H;4RQS;5A7X;5A8H;5CAY;5THR;5U1F;5VN3;6CM3;6EDU;6L1Y;6MEO;6MET;6OPN;6OPO;6OPP;6OPQ;6QH6;6QH7;6U0L;6U0N;6URI;6X5B;6X5C;7T0O;7T0R;7TXD;8D5C;8FYI;8FYJ;
P01732	reviewed	CD8A_HUMAN	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	CD8A MAL	Homo sapiens (Human)	235	2.60.40.10;	1AKJ;1CD8;1Q69;2HP4;3QZW;7UMG;7UVF;8EW6;
P01742	reviewed	HV169_HUMAN	Immunoglobulin heavy variable 1-69 (Ig heavy chain V-I region EU) (Ig heavy chain V-I region SIE) (Ig heavy chain V-I region WOL)	IGHV1-69	Homo sapiens (Human)	117	2.60.40.10;	
P01764	reviewed	HV323_HUMAN	Immunoglobulin heavy variable 3-23 (Ig heavy chain V-III region LAY) (Ig heavy chain V-III region POM) (Ig heavy chain V-III region TEI) (Ig heavy chain V-III region TIL) (Ig heavy chain V-III region TUR) (Ig heavy chain V-III region VH26) (Ig heavy chain V-III region WAS) (Ig heavy chain V-III region ZAP)	IGHV3-23	Homo sapiens (Human)	117	2.60.40.10;	1OHQ;3BN9;3UPC;3ZHD;3ZHK;3ZHL;4KFZ;
P01768	reviewed	HV330_HUMAN	Immunoglobulin heavy variable 3-30 (Ig heavy chain V-III region BUR) (Ig heavy chain V-III region CAM) (Ig heavy chain V-III region GA) (Ig heavy chain V-III region NIE)	IGHV3-30	Homo sapiens (Human)	117	2.60.40.10;	
P01772	reviewed	HV333_HUMAN	Immunoglobulin heavy variable 3-33 (Ig heavy chain V-III region HIL) (Ig heavy chain V-III region KOL)	IGHV3-33	Homo sapiens (Human)	117	2.60.40.10;	2FB4;2IG2;2RCJ;7CZT;
P01814	reviewed	HV270_HUMAN	Immunoglobulin heavy variable 2-70 (Ig heavy chain V-II region COR) (Ig heavy chain V-II region DAW) (Ig heavy chain V-II region OU) (Ig heavy chain V-II region SESS)	IGHV2-70	Homo sapiens (Human)	119	2.60.40.10;	
P01833	reviewed	PIGR_HUMAN	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) (Hepatocellular carcinoma-associated protein TB6) [Cleaved into: Secretory component]	PIGR	Homo sapiens (Human)	764	2.60.40.10;	1XED;2OCW;3CHN;3CM9;5D4K;6KXS;6LX3;6LXW;6UE7;6UE8;6UE9;6UEA;7K0C;7YSG;8SKU;8SKV;
P01834	reviewed	IGKC_HUMAN	Immunoglobulin kappa constant (Ig kappa chain C region) (Ig kappa chain C region AG) (Ig kappa chain C region CUM) (Ig kappa chain C region EU) (Ig kappa chain C region OU) (Ig kappa chain C region ROY) (Ig kappa chain C region TI)	IGKC	Homo sapiens (Human)	107	2.60.40.10;	1A4J;1A4K;1CLY;1D5B;1D5I;1D6V;1DFB;1GAF;1HEZ;1HKL;1HZH;1I7Z;1MIM;1N0X;1UCB;2NY7;2O5X;2O5Y;2O5Z;2QQK;2QQL;2QQN;2QSC;2R56;2RFX;2VXQ;3B2U;3B2V;3BDY;3BE1;3BKY;3BN9;3BQU;3C08;3C09;3CFJ;3CFK;3CSY;3D0L;3D85;3DVG;3DVN;3EYF;3EYO;3EYQ;3IU3;3O11;3QCT;3QCU;3QCV;3RU8;3U0W;3U7W;3U7Y;3VH8;3WUW;3X11;3X12;4D3C;4D9R;4HIX;4NM4;4NM8;4XMP;4XNY;4XNZ;4XXD;4YDV;5B38;5B39;5C7K;5ESV;5ESZ;5EWI;5VEB;5VIY;6AU5;6AXP;6AYN;6AZK;6AZL;6B9Y;6B9Z;6BAE;6BAH;6DCV;6DCW;6N2X;6N32;6N35;6OGE;6OKP;7CZY;7CZZ;7XQ8;8C1C;8DAO;8DBZ;
P01848	reviewed	TRAC_HUMAN	T cell receptor alpha chain constant	TRAC TCRA	Homo sapiens (Human)	140	2.60.40.10;	1AO7;1BD2;1FYT;1J8H;1KGC;1MI5;1OGA;1QRN;1QSF;1YMM;1ZGL;2AK4;2BNQ;2BNR;2BNU;2CDF;2CDG;2ESV;2EYR;2EYS;2EYT;2F53;2F54;2GJ6;2IAL;2IAM;2IAN;2NX5;2P5E;2P5W;2PO6;2PYE;2PYF;2VLJ;2VLK;2VLM;2VLR;2XN9;2XNA;3ARB;3ARD;3ARE;3ARF;3ARG;3D39;3DX9;3DXA;3FFC;3GSN;3HE7;3HG1;3KPR;3KPS;3KXF;3O4L;3O6F;3O8X;3O9W;3PWP;3QDG;3QDJ;3QDM;3QEQ;3QEU;3QIB;3QJF;3QUX;3SCM;3SDA;3SDC;3SDD;3SDX;3SJV;3SKN;3T0E;3TN0;3TVM;4APQ;4C56;4G8E;4G8F;4IRS;4JFD;4JFE;4JFF;4JFH;4JRX;4JRY;4MVB;4MXQ;4N0C;4N5E;4NHU;4ONH;4P4K;4PRH;4PRI;4PRP;4UDT;4UDU;4WW1;4WW2;4WWK;4X6B;4X6C;4X6D;4Y16;4Y2D;4Y4F;4Y4H;4Y4K;4ZDH;5BRZ;5BS0;5C07;5C08;5C09;5C0A;5C0B;5C0C;5EU6;5FK9;5FKA;5HHM;5HHO;5HYJ;5JZI;5KS9;5KSA;5KSB;5NQK;6DKP;6JXR;7FJD;7FJE;7FJF;7NDT;7RYL;7RYM;7RYN;7RYO;7T2B;7T2C;7T2D;
P01850	reviewed	TRBC1_HUMAN	T cell receptor beta constant 1	TRBC1	Homo sapiens (Human)	176	2.60.40.10;	1AO7;1FYT;1J8H;1KGC;1KTK;1MI5;1OGA;1YMM;1ZGL;2AK4;2AXH;2BNQ;2BNR;2BNU;2CDE;2CDF;2CDG;2ESV;2F53;2F54;2GJ6;2IAL;2IAM;2IAN;2NTS;2NW2;2NX5;2P5E;2P5W;2PO6;2PYE;2PYF;2VLJ;2VLK;2VLM;2VLR;2XN9;2XNA;3ARB;3ARD;3ARE;3ARF;3ARG;3D39;3D3V;3DX9;3DXA;3FFC;3HE6;3HG1;3KPR;3KPS;3O4L;3TN0;4G8E;4G8F;4GG6;4GG8;4IIQ;4JFD;4JFE;4JFF;4JFH;4JRX;4JRY;4L4T;4L4V;4L9L;4LCC;4LCW;4MJI;4MNQ;4NQC;4NQD;4NQE;4OZF;4OZG;4OZH;4OZI;4P46;4PRH;4PRI;4PRP;4X6B;4X6C;4X6D;4ZDH;7RYL;7RYM;7RYN;7RYO;7T2B;7T2C;7T2D;
P01854	reviewed	IGHE_HUMAN	Immunoglobulin heavy constant epsilon (Ig epsilon chain C region) (Ig epsilon chain C region ND)	IGHE	Homo sapiens (Human)	546	2.60.40.10;	1F6A;1FP5;1G84;1O0V;2WQR;2Y7Q;3H9Y;3H9Z;3HA0;4EZM;4GKO;4GRG;4GT7;4J4P;4KI1;5ANM;5HYS;5LGJ;5LGK;5MOI;5MOJ;5MOK;5MOL;5NQW;6EYO;6UQR;7MXI;7SHT;7SHU;7SHY;7SHZ;7SI0;8C1B;8C1C;
P01857	reviewed	IGHG1_HUMAN	Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE)	IGHG1	Homo sapiens (Human)	399	2.60.40.10;	1AJ7;1AQK;1AXS;1BEY;1D5B;1D5I;1D6V;1DFB;1DN2;1E4K;1FC1;1FC2;1FCC;1GAF;1H3T;1H3U;1H3V;1H3W;1H3X;1H3Y;1HKL;1HZH;1I7Z;1L6X;1N7M;1OQO;1OQX;1PG7;1T83;1T89;1VGE;2DTS;2GJ7;2I5Y;2IWG;2J6E;2JB5;2JB6;2O5X;2O5Y;2O5Z;2OSL;2QAD;2QL1;2QQK;2QQL;2QQN;2QR0;2R56;2RCS;2VXQ;2WAH;3AGV;3AVE;3AY4;3B2U;3B2V;3BDY;3BE1;3BKY;3BN9;3BQU;3C08;3C09;3C2S;3CFJ;3CFK;3CSY;3D0L;3D0V;3D6G;3D85;3DJ9;3DNK;3DO3;3DRO;3DRQ;3DVG;3DVN;3EYF;3EYO;3EYQ;3FJT;3MCL;3O11;3RY6;3S7G;3SGJ;3SGK;3TV3;3TWC;3TYG;3U0W;3U7W;3U7Y;3V7M;3V8C;3V95;3WJJ;3WJL;3WKN;3WN5;4ACP;4B7I;4BM7;4BSV;4BSW;4BYH;4CDH;4D9Q;4D9R;4DAG;4DZ8;4EOW;4HIX;4J12;4KU1;4LLD;4LLM;4LLQ;4N0U;4NQS;4NQT;4NQU;4NWT;4NWU;4O4Y;4O51;4Q6Y;4Q74;4Q7D;4W4N;4W4O;4WI2;4WI3;4WI4;4WI5;4WI6;4WI7;4WI8;4WI9;4X4M;4X98;4X99;4XMP;4XNY;4XNZ;4XXD;4ZNE;5BW7;5C7K;5D4Q;5D6D;5DI8;5DJ0;5DJ2;5DJ6;5DJ8;5DJA;5DJC;5DJD;5DJX;5DJY;5DJZ;5DK0;5DK2;5DVK;5DVL;5DVM;5DVN;5DVO;5GSQ;5HSF;5HY9;5HYE;5HYF;5HYI;5IQ7;5IQ9;5IW3;5IW6;5JIH;5JII;5JIK;5K33;5K64;5K65;5K8D;5KWG;5M3V;5TPS;5U4Y;5U52;5U66;5V43;5V4E;6DCV;6DCW;6DE7;6F2Z;6G1E;6N35;6YT7;7KWO;7LUR;7Q15;7Q3P;7WSO;8DIN;8DIR;8DJ7;
P01859	reviewed	IGHG2_HUMAN	Immunoglobulin heavy constant gamma 2 (Ig gamma-2 chain C region) (Ig gamma-2 chain C region DOT) (Ig gamma-2 chain C region TIL) (Ig gamma-2 chain C region ZIE)	IGHG2	Homo sapiens (Human)	395	2.60.40.10;	2QSC;4HAF;4HAG;4L4J;7LUS;
P01860	reviewed	IGHG3_HUMAN	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)	IGHG3	Homo sapiens (Human)	446	2.60.40.10;	4WWI;4ZNC;5M3V;5W38;6D58;6G1E;
P01861	reviewed	IGHG4_HUMAN	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)	IGHG4	Homo sapiens (Human)	396	2.60.40.10;	1ADQ;1BBJ;2FL5;3EO1;4B53;4C54;4C55;4D2N;5HVW;5LG1;5W5M;5W5N;6WIB;6WMH;6WNA;6WOL;
P01871	reviewed	IGHM_HUMAN	Immunoglobulin heavy constant mu (Ig mu chain C region) (Ig mu chain C region BOT) (Ig mu chain C region GAL) (Ig mu chain C region OU)	IGHM	Homo sapiens (Human)	474	2.60.40.10;	1HEZ;2AGJ;2RCJ;6KXS;7K0C;7QDO;7WSP;7XQ8;7XT6;7Y09;7Y0H;7Y0J;7YG2;7YSG;7YTC;7YTD;8ADY;8ADZ;8AE0;8AE2;8AE3;8BPF;8BPG;8GZN;
P01876	reviewed	IGHA1_HUMAN	Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO)	IGHA1	Homo sapiens (Human)	398	2.60.40.10;	1IGA;1OW0;2ESG;2QEJ;3CHN;6LX3;6LXW;6UE7;6XJA;7UVL;8SKU;8SKV;
P01877	reviewed	IGHA2_HUMAN	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)	IGHA2	Homo sapiens (Human)	391	2.60.40.10;	3CM9;6UE8;6UE9;6UEA;
P01880	reviewed	IGHD_HUMAN	Immunoglobulin heavy constant delta (Ig delta chain C region) (Ig delta chain C region NIG-65) (Ig delta chain C region WAH)	IGHD	Homo sapiens (Human)	430	2.60.40.10;	1ZVO;
P01889	reviewed	HLAB_HUMAN	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362	2.60.40.10;3.30.500.10;	1A1M;1A1N;1A1O;1A9B;1A9E;1AGB;1AGC;1AGD;1AGE;1AGF;1CG9;1E27;1E28;1HSA;1JGD;1JGE;1K5N;1M05;1M6O;1MI5;1N2R;1OF2;1OGT;1SYS;1SYV;1UXS;1UXW;1W0V;1W0W;1XH3;1XR8;1XR9;1ZHK;1ZHL;1ZSD;2A83;2AK4;2AXF;2AXG;2BSR;2BSS;2BST;2BVO;2BVP;2BVQ;2H6P;2HJL;2NW3;2NX5;2RFX;2YPK;2YPL;3B3I;3B6S;3BP4;3BP7;3BW9;3BWA;3C9N;3CZF;3D18;3DTX;3DX6;3DX7;3DX8;3DXA;3FFC;3HCV;3KPL;3KPM;3KPN;3KPO;3KPP;3KPQ;3KPR;3KPS;3KWW;3KXF;3L3D;3L3G;3L3I;3L3J;3L3K;3LKN;3LKO;3LKP;3LKQ;3LKR;3LKS;3LN4;3LN5;3LV3;3MV7;3MV8;3MV9;3SJV;3SKM;3SKO;3SPV;3UPR;3VCL;3VFS;3VFT;3VFU;3VFV;3VFW;3VH8;3VRI;3VRJ;3W39;3WUW;3X11;3X12;3X13;3X14;4G8G;4G8I;4G9D;4G9F;4JQV;4JQX;4LCY;4LNR;4MJI;4O2C;4O2E;4O2F;4PR5;4PRN;4QRP;4QRQ;4QRR;4QRS;4QRT;4QRU;4U1H;4U1I;4U1J;4U1K;4U1L;4U1M;4U1N;4U1S;4XXC;5B38;5B39;5DEF;5DEG;5EO0;5EO1;5IB1;5IB2;5IB3;5IB4;5IB5;5IEH;5IEK;5IM7;5INC;5IND;5T6W;5T6X;5T6Y;5T6Z;5T70;5TXS;5U98;5V5L;5V5M;5VUD;5VUE;5VUF;5VWD;5VWF;5VWH;5VWJ;5VZ5;5WMN;5WMO;5WMP;5WMQ;5WMR;5XOS;5XOT;6AT5;6AVF;6AVG;6BJ2;6BJ3;6BJ8;6BXP;6BXQ;6D29;6D2B;6D2R;6D2T;6MT3;6MT4;6MT5;6MT6;6MTL;6MTM;6P23;6P27;6P2C;6P2F;6P2S;6PYJ;6PYL;6PYV;6PYW;6PZ5;6UJ7;6UJ8;6UJ9;6VMX;7LFZ;7LG0;7LGD;7LGT;7RZD;7RZJ;7S79;7S7D;7S7E;7S7F;7S8A;7S8E;7S8F;
P01893	reviewed	HLAH_HUMAN	Putative HLA class I histocompatibility antigen, alpha chain H (HLA-12.4) (HLA-AR) (MHC class I antigen H)	HLA-H HLAH	Homo sapiens (Human)	362	2.60.40.10;3.30.500.10;	
P01903	reviewed	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)	HLA-DRA HLA-DRA1	Homo sapiens (Human)	254	2.60.40.10;	1A6A;1AQD;1BX2;1D5M;1D5X;1D5Z;1D6E;1DLH;1FV1;1FYT;1H15;1HQR;1HXY;1J8H;1JWM;1JWS;1JWU;1KG0;1KLG;1KLU;1LO5;1PYW;1R5I;1SEB;1SJE;1SJH;1T5W;1T5X;1YMM;1ZGL;2FSE;2G9H;2IAM;2IAN;2ICW;2IPK;2OJE;2Q6W;2SEB;2WBJ;2XN9;3C5J;3L6F;3O6F;3PDO;3PGC;3PGD;3QXA;3QXD;3S4S;3S5L;3T0E;4AEN;4AH2;4C56;4E41;4FQX;4GBX;4H1L;4H25;4H26;4I5B;4IS6;4MCY;4MCZ;4MD0;4MD4;4MD5;4MDI;4MDJ;4OV5;4X5W;4X5X;4Y19;4Y1A;5JLZ;5LAX;5NI9;5NIG;5V4M;5V4N;6ATF;6ATI;6ATZ;6BIJ;6BIL;6BIN;6BIR;6BIV;6BIX;6BIY;6BIZ;6CPL;6CPN;6CPO;6CQJ;6CQL;6CQN;6CQQ;6CQR;6NIX;6QZA;6QZC;6QZD;6R0E;6V0Y;6V13;6V15;6V18;6V19;6V1A;7N19;7NZE;7O00;7YX9;7YXB;7Z0Q;8CMB;8CMC;8CMD;8CME;8CMF;8CMG;8CMH;8CMI;8EUQ;
P01906	reviewed	DQA2_HUMAN	HLA class II histocompatibility antigen, DQ alpha 2 chain (DX alpha chain) (HLA class II histocompatibility antigen, DQ(6) alpha chain) (HLA-DQA1) (MHC class II DQA2)	HLA-DQA2 HLA-DXA	Homo sapiens (Human)	255	2.60.40.10;	
P01909	reviewed	DQA1_HUMAN	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)	HLA-DQA1	Homo sapiens (Human)	254	2.60.40.10;	1JK8;1S9V;1UVQ;2NNA;4GG6;4OZF;4OZG;4OZH;4OZI;5KSA;5KSB;5KSU;5KSV;6MFF;6MFG;6U3M;6U3N;6XP6;7SG0;7SG1;7SG2;8W83;8W84;8W85;8W86;
